iter	Passed	Remaining
0	1	151
1	2	136
2	4	130
3	5	120
4	6	118
5	7	117
6	8	118
7	10	118
8	11	118
9	13	120
10	14	119
11	16	117
12	17	115
13	18	113
14	19	112
15	20	110
16	22	108
17	23	107
18	24	105
19	25	103
20	27	102
21	28	100
22	29	98
23	30	97
24	32	96
25	33	94
26	34	92
27	35	91
28	36	90
29	37	88
30	39	87
31	40	85
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	47	78
38	49	76
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	67
45	56	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	85	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	21
83	103	19
84	105	18
85	106	17
86	107	16
87	108	14
88	110	13
89	111	12
90	112	11
91	113	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
